name,id,nametype,recclass,year,reclat,reclong,GeoLocation,mass
Aarhus,2,Valid,H6,1951.0,56.18333,10.23333,"(56.18333, 10.23333)",0.72
Abee,6,Valid,EH4,1952.0,54.21667,-113.0,"(54.21667, -113.0)",107.0
Acapulco,10,Valid,Acapulcoite,1976.0,16.88333,-99.9,"(16.88333, -99.9)",1.914
Achiras,370,Valid,L6,1902.0,-33.16667,-64.95,"(-33.16667, -64.95)",0.78
Adhi Kot,379,Valid,EH4,1919.0,32.1,71.8,"(32.1, 71.8)",4.239
Adzhi-Bogdo (stone),390,Valid,LL3-6,1949.0,44.83333,95.16667,"(44.83333, 95.16667)",0.91
Aguada,398,Valid,L6,1930.0,-31.6,-65.23333,"(-31.6, -65.23333)",1.62
Aguila Blanca,417,Valid,L,1920.0,-30.86667,-64.55,"(-30.86667, -64.55)",1.44
Aioun el Atrouss,423,Valid,Diogenite-pm,1974.0,16.39806,-9.57028,"(16.39806, -9.57028)",1.0
Aïr,424,Valid,L6,1925.0,19.08333,8.38333,"(19.08333, 8.38333)",24.0
Akaba,426,Valid,L6,1949.0,29.51667,35.05,"(29.51667, 35.05)",0.779
Akwanga,432,Valid,H,1959.0,8.91667,8.43333,"(8.91667, 8.43333)",3.0
Akyumak,433,Valid,"Iron, IVA",1981.0,39.91667,42.81667,"(39.91667, 42.81667)",50.0
Al Rais,446,Valid,CR2-an,1957.0,24.41667,39.51667,"(24.41667, 39.51667)",0.16
Al Zarnkh,447,Valid,LL5,2001.0,13.66033,28.96,"(13.66033, 28.96)",0.7
Alberta,454,Valid,L,1949.0,2.0,22.66667,"(2.0, 22.66667)",0.625
Alby sur Chéran,458,Valid,Eucrite-mmict,2002.0,45.82133,6.01533,"(45.82133, 6.01533)",0.252
Allende,2278,Valid,CV3,1969.0,26.96667,-105.31667,"(26.96667, -105.31667)",2000.0
Almahata Sitta,48915,Valid,Ureilite-an,2008.0,20.74575,32.41275,"(20.74575, 32.41275)",3.95
Alta'ameem,2284,Valid,LL5,1977.0,35.27333,44.21556,"(35.27333, 44.21556)",6.0
Andreevka,2296,Valid,L3,1969.0,48.7,37.5,"(48.7, 37.5)",0.6
Andura,2298,Valid,H6,1939.0,20.88333,76.86667,"(20.88333, 76.86667)",17.9
Ankober,2304,Valid,H4,1942.0,9.53333,39.71667,"(9.53333, 39.71667)",6.5
Anlong,2305,Valid,H5,1971.0,25.15,105.18333,"(25.15, 105.18333)",2.5
Aomori,2313,Valid,L6,1984.0,40.81056,140.78556,"(40.81056, 140.78556)",0.32
Appley Bridge,2318,Valid,LL6,1914.0,53.58333,-2.71667,"(53.58333, -2.71667)",15.0
Arbol Solo,2325,Valid,H5,1954.0,-33.0,-66.0,"(-33.0, -66.0)",0.81
Archie,2329,Valid,H6,1932.0,38.5,-94.3,"(38.5, -94.3)",5.07
Arroyo Aguiar,2340,Valid,H5,1950.0,-31.41667,-60.66667,"(-31.41667, -60.66667)",7.45
Ash Creek,48954,Valid,L6,2009.0,31.805,-97.01,"(31.805, -97.01)",9.5
Ashdon,2346,Valid,L6,1923.0,52.05,0.3,"(52.05, 0.3)",1.3
Atarra,4883,Valid,L4,1920.0,25.25417,80.625,"(25.25417, 80.625)",1.28
Athens,4885,Valid,LL6,1933.0,34.75,-87.0,"(34.75, -87.0)",0.265
Atoka,4888,Valid,L6,1945.0,34.31667,-96.15,"(34.31667, -96.15)",1.3842
Avanhandava,4905,Valid,H4,1952.0,-21.46028,-49.95083,"(-21.46028, -49.95083)",9.33
Avce,4906,Valid,"Iron, IIAB",1908.0,46.0,13.5,"(46.0, 13.5)",1.23
Awere,4910,Valid,L4,1968.0,2.71667,32.83333,"(2.71667, 32.83333)",0.134
Aztec,4913,Valid,L6,1938.0,36.8,-108.0,"(36.8, -108.0)",2.83
Bahjoi,4922,Valid,"Iron, IAB-sLL",1934.0,28.48333,78.5,"(28.48333, 78.5)",10.322
Bald Mountain,4925,Valid,L4,1929.0,35.96667,-82.48333,"(35.96667, -82.48333)",3.7
Baldwyn,4926,Valid,L6,1922.0,34.5,-88.66667,"(34.5, -88.66667)",0.345
Bali,4928,Valid,CV3,1907.0,5.38333,16.38333,"(5.38333, 16.38333)",1.0
Ban Rong Du,4934,Valid,"Iron, ungrouped",1993.0,16.66667,101.18333,"(16.66667, 101.18333)",16.7
Banswal,4937,Valid,L5,1913.0,30.4,78.2,"(30.4, 78.2)",0.014
Banten,4938,Valid,CM2,1933.0,-6.33333,106.0,"(-6.33333, 106.0)",0.629
Barnaul,4947,Valid,H5,1904.0,52.73333,84.08333,"(52.73333, 84.08333)",0.0232
Baroti,4949,Valid,L6,1910.0,31.61667,76.8,"(31.61667, 76.8)",4.5
Barwell,4954,Valid,L5,1965.0,52.56528,-1.33972,"(52.56528, -1.33972)",44.0
Bassikounou,44876,Valid,H5,2006.0,15.78333,-5.9,"(15.78333, -5.9)",29.56
Baszkówka,4957,Valid,L5,1994.0,52.03333,20.93583,"(52.03333, 20.93583)",15.5
Bath Furnace,4975,Valid,L6,1902.0,38.25,-83.75,"(38.25, -83.75)",86.0
Battle Mountain,56133,Valid,L6,2012.0,40.66813,-117.18913,"(40.66813, -117.18913)",2.9
Bawku,4976,Valid,LL5,1989.0,11.08333,-0.18333,"(11.08333, -0.18333)",1.557
Baxter,4977,Valid,L6,1916.0,36.75,-93.5,"(36.75, -93.5)",0.611
Beardsley,4984,Valid,H5,1929.0,39.8,-101.2,"(39.8, -101.2)",16.0
Beddgelert,4993,Valid,H5,1949.0,53.01667,-4.1,"(53.01667, -4.1)",0.794
Bells,5005,Valid,C2-ung,1961.0,33.6,-96.46667,"(33.6, -96.46667)",0.375
Benguerir,30443,Valid,LL6,2004.0,32.25,-8.15,"(32.25, -8.15)",25.0
Beni M'hira,5018,Valid,L6,2001.0,32.86667,10.8,"(32.86667, 10.8)",19.0
Benld,5021,Valid,H6,1938.0,39.08333,-89.15,"(39.08333, -89.15)",1.7705
Benoni,5023,Valid,H6,1943.0,-26.16667,28.41667,"(-26.16667, 28.41667)",3.88
Bensour,5024,Valid,LL6,2002.0,30.0,-7.0,"(30.0, -7.0)",45.0
Benton,5026,Valid,LL6,1949.0,45.95,-67.55,"(45.95, -67.55)",2.84
Berduc,48975,Valid,L6,2008.0,-31.91,-58.32833,"(-31.91, -58.32833)",0.27
Béréba,5028,Valid,Eucrite-mmict,1924.0,11.65,-3.65,"(11.65, -3.65)",18.0
Berthoud,47355,Valid,Eucrite-mmict,2004.0,40.30583,-105.02325,"(40.30583, -105.02325)",0.96
Beyrout,5035,Valid,LL3.8,1921.0,33.88333,35.5,"(33.88333, 35.5)",1.1
Bhawad,36591,Valid,LL6,2002.0,26.50833,73.11528,"(26.50833, 73.11528)",0.678
Bhola,5040,Valid,LL3-6,1940.0,22.68333,90.65,"(22.68333, 90.65)",1.047
Bholghati,5041,Valid,Howardite,1905.0,22.08333,86.9,"(22.08333, 86.9)",2.5
Bilanga,5045,Valid,Diogenite,1999.0,12.45,-0.08333,"(12.45, -0.08333)",25.0
Binningup,5051,Valid,H5,1984.0,-33.15639,115.67639,"(-33.15639, 115.67639)",0.48810000000000003
Birni N'konni,5056,Valid,H4,1923.0,13.76667,5.3,"(13.76667, 5.3)",0.56
Black Moshannan Park,5065,Valid,L5,1941.0,40.91667,-78.08333,"(40.91667, -78.08333)",0.705
Blackwell,5068,Valid,L5,1906.0,36.83333,-97.33333,"(36.83333, -97.33333)",2.381
Blanket,5071,Valid,L6,1909.0,31.83333,-98.83333,"(31.83333, -98.83333)",5.1
Bloomington,5076,Valid,LL6,1938.0,40.48,-89.00417,"(40.48, -89.00417)",0.0678
Bo Xian,5090,Valid,LL3.9,1977.0,33.83333,115.83333,"(33.83333, 115.83333)",7.5
Bogou,5097,Valid,"Iron, IAB-MG",1962.0,12.5,0.7,"(12.5, 0.7)",8.8
Boguslavka,5098,Valid,"Iron, IIAB",1916.0,44.55,131.63333,"(44.55, 131.63333)",256.0
Boriskino,5112,Valid,CM2,1930.0,54.23333,52.48333,"(54.23333, 52.48333)",1.342
Boumdeid (2003),57168,Valid,L6,2003.0,17.71067,-11.3715,"(17.71067, -11.3715)",0.19
Boumdeid (2011),57167,Valid,L6,2011.0,17.17493,-11.34133,"(17.17493, -11.34133)",3.599
Bovedy,5121,Valid,L3,1969.0,54.56667,-6.33333,"(54.56667, -6.33333)",5.46
Breitscheid,5134,Valid,H5,1956.0,50.66694,8.18361,"(50.66694, 8.18361)",1.5
Brient,5140,Valid,Eucrite-pmict,1933.0,52.13333,59.31667,"(52.13333, 59.31667)",0.219
Bruderheim,5156,Valid,L6,1960.0,53.9,-112.88333,"(53.9, -112.88333)",303.0
Bukhara,30448,Valid,CV3,2001.0,39.77978,64.60035,"(39.77978, 64.60035)",5.3
Bunburra Rockhole,48653,Valid,Eucrite,2007.0,-31.35,129.19,"(-31.35, 129.19)",0.324
Bununu,5165,Valid,Howardite,1942.0,10.01667,9.58333,"(10.01667, 9.58333)",0.357
Bur-Gheluai,5169,Valid,H5,1919.0,5.0,48.0,"(5.0, 48.0)",120.0
Burnwell,5175,Valid,H4-an,1990.0,37.62194,-82.23722,"(37.62194, -82.23722)",1.504
Bursa,5177,Valid,L6,1946.0,40.2,29.23333,"(40.2, 29.23333)",25.0
Buzzard Coulee,48654,Valid,H4,2008.0,52.996,-109.84817,"(52.996, -109.84817)",41.0
Cacak,5187,Valid,OC,1919.0,43.83889,20.33333,"(43.83889, 20.33333)",0.212
Cali,45976,Valid,H/L4,2007.0,3.405,-76.51,"(3.405, -76.51)",0.478
Calivo,5200,Valid,Stone-uncl,1916.0,11.75,122.33333,"(11.75, 122.33333)",2.4
Campos Sales,5249,Valid,L5,1991.0,-7.03333,-40.16667,"(-7.03333, -40.16667)",23.68
Çanakkale,5250,Valid,L6,1964.0,39.8,26.6,"(39.8, 26.6)",4.0
Canon City,5253,Valid,H6,1973.0,38.47028,-105.24139,"(38.47028, -105.24139)",1.4
Capilla del Monte,5264,Valid,H6,1934.0,-30.88333,-64.55,"(-30.88333, -64.55)",0.75
Carancas,45817,Valid,H4-5,2007.0,-16.66444,-69.04389,"(-16.66444, -69.04389)",0.342
Caratash,5265,Valid,LL6,1902.0,38.5,27.0,"(38.5, 27.0)",0.008
Ceniceros,5306,Valid,L3.7,1988.0,26.46667,-105.23333,"(26.46667, -105.23333)",1.025
Centerville,5307,Valid,H5,1956.0,43.2,-96.91667,"(43.2, -96.91667)",0.0456
Chadong,5313,Valid,L6,1998.0,28.53333,109.31667,"(28.53333, 109.31667)",3.7
Chainpur,5315,Valid,LL3.4,1907.0,25.85,83.48333,"(25.85, 83.48333)",8.2
Chajari,5316,Valid,L5,1933.0,-30.78333,-58.05,"(-30.78333, -58.05)",18.3
Changde,5322,Valid,H5,1977.0,29.08333,111.75,"(29.08333, 111.75)",1.81
Chaves,5334,Valid,Howardite,1925.0,41.93333,-7.46667,"(41.93333, -7.46667)",2.945
Chela,5338,Valid,H4,1988.0,-3.66667,32.5,"(-3.66667, 32.5)",2.936
Chelyabinsk,57165,Valid,LL5,2013.0,54.81667,61.11667,"(54.81667, 61.11667)",100.0
Chergach ,47347,Valid,H5,2007.0,23.69639,-5.01472,"(23.69639, -5.01472)",100.0
